,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
293,293,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
294,294,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
295,295,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
296,296,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
297,297,cg,INVALID,1.161895,1,                -NAN,0,1.0,1.0
298,298,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
299,299,cg,VALID,1.20157,1, 1.7130235671997E+01,1,1.0,1.0
300,300,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
301,301,cg,VALID,1.1138534,1, 1.7130235671997E+01,1,1.0,1.0
302,302,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
303,303,cg,VALID,1.1950784999999997,1, 1.7130235671997E+01,1,1.0,1.0
304,304,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
305,305,cg,VALID,3.2561766999999997,0, 1.7130235671997E+01,1,1.0,1.0
306,306,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
307,307,cg,VALID,1.1360572000000002,1, 1.7130235671997E+01,1,1.0,1.0
308,308,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
309,309,cg,VALID,1.0795806000000001,1, 1.7130235671997E+01,1,1.0,1.0
310,310,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
311,311,cg,VALID,1.1759578,1, 1.7130235671997E+01,1,1.0,1.0
312,312,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
313,313,cg,VALID,1.1606415,1, 1.7130235671997E+01,1,1.0,1.0
314,314,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
315,315,cg,VALID,1.1692292,1, 1.7130235671997E+01,1,1.0,1.0
316,316,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
317,317,cg,VALID,1.0794774,1, 1.7130235671997E+01,1,1.0,1.0
318,318,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
319,319,cg,INVALID,1.17894,1, 7.1265898437500E+03,0,1.0,1.0
320,320,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
321,321,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
322,322,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
323,323,cg,VALID,1.0249035,1, 1.7130235671997E+01,1,1.0,1.0
