,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
157,157,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654015982756391e-05
158,158,spec_lbm,VALID,156.461206385,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
159,159,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
160,160,spec_lbm,VALID,159.469955672,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
161,161,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
162,162,spec_lbm,VALID,156.370056463,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
163,163,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
164,164,spec_lbm,VALID,153.883472524,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
165,165,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
166,166,spec_lbm,VALID,163.926955718,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
167,167,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
168,168,spec_lbm,VALID,210.911476077,0,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
169,169,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
170,170,spec_lbm,VALID,155.893922031,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
171,171,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
172,172,spec_lbm,VALID,154.396719277,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
173,173,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
174,174,spec_lbm,VALID,157.423801817,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
175,175,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
176,176,spec_lbm,VALID,161.276314696,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
177,177,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5179778933525085,0.0014002036768943071
178,178,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.503207802772522,0.0921621173620224
179,179,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5217234492301941,0.0001300458243349567
180,180,spec_lbm,INVALID,155.912586889,1,3.3752227021174E-07,0,1.0,1.0,0.49999916553497314,0.7105349898338318
181,181,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
182,182,spec_lbm,VALID,163.632810539,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
183,183,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654015982756391e-05
184,184,spec_lbm,VALID,162.222201418,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
185,185,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
186,186,spec_lbm,VALID,161.196281038,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
187,187,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
188,188,spec_lbm,VALID,160.1592601,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
189,189,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5253193974494934,0.00010577598004601896
190,190,spec_lbm,VALID,159.248766996,1,5.6073044327983E-08,1,1.0,1.0,0.4964461922645569,0.9133419990539551
191,191,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5221747756004333,8.206701750168577e-05
192,192,spec_lbm,VALID,158.058992724,1,6.3500903299938E-08,1,1.0,1.0,0.5047690272331238,0.9005675911903381
193,193,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5209833383560181,8.383647218579426e-05
194,194,spec_lbm,VALID,155.777954178,1,5.6036294773589E-08,1,1.0,1.0,0.49736487865448,0.9075919389724731
195,195,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5052937269210815,0.00014926998119335622
196,196,spec_lbm,INVALID,156.302026953,1,4.0301309776544E-07,0,1.0,1.0,0.5112683176994324,0.6248728632926941
197,197,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5226325392723083,9.346695151180029e-05
198,198,spec_lbm,VALID,156.06174753,1,5.6036294773589E-08,1,1.0,1.0,0.4981561601161957,0.8645182251930237
199,199,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
200,200,spec_lbm,VALID,156.765856205,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
201,201,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
202,202,spec_lbm,VALID,153.140613928,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
203,203,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
204,204,spec_lbm,VALID,158.481113555,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
205,205,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
206,206,spec_lbm,VALID,158.08133651,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
207,207,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
208,208,spec_lbm,VALID,153.78742566,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
209,209,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
210,210,spec_lbm,VALID,154.405245738,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
211,211,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
212,212,spec_lbm,VALID,162.656943449,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
213,213,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
214,214,spec_lbm,VALID,171.020927543,0,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
215,215,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654015982756391e-05
216,216,spec_lbm,VALID,156.676225084,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
217,217,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5219500064849854,0.002971041016280651
218,218,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5030524134635925,0.009638763032853603
219,219,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5219500064849854,0.002971042413264513
220,220,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5030524134635925,0.009638757444918156
221,221,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
