,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
192,192,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.15946607291698456,0.06959126889705658
193,193,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,1.0,0.31880983710289,0.5624686479568481
194,194,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.43162599205970764,0.06285928189754486
195,195,spec_lbm,INVALID,166.645765355,1,1.9140109262137E-07,0,1.0,1.0,0.5785751938819885,0.5947754383087158
196,196,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.42782092094421387,0.06175510585308075
197,197,spec_lbm,VALID,165.681522224,1,1.5018930121204E-08,1,1.0,1.0,0.5437845587730408,0.5638076066970825
198,198,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.42932480573654175,0.061532605439424515
199,199,spec_lbm,VALID,160.330713542,1,1.5018930121204E-08,1,1.0,1.0,0.559704065322876,0.5793814659118652
200,200,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4016273319721222,0.06707975268363953
201,201,spec_lbm,VALID,155.614232361,1,1.5018930121204E-08,1,1.0,1.0,0.591899037361145,0.6075193881988525
202,202,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.42641040682792664,0.06154327839612961
203,203,spec_lbm,VALID,155.431075865,1,1.1214608865597E-08,1,1.0,1.0,0.5428611040115356,0.5717911124229431
204,204,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4247387945652008,0.06363160908222198
205,205,spec_lbm,INVALID,153.687149084,1,2.1350620803947E-07,0,1.0,1.0,0.5296614766120911,0.5127105712890625
206,206,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41796252131462097,0.06256727874279022
207,207,spec_lbm,VALID,163.466473182,1,1.5018930121204E-08,1,1.0,1.0,0.5605299472808838,0.5580935478210449
208,208,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4175803065299988,0.06230241805315018
209,209,spec_lbm,VALID,167.047356323,1,1.5018930121204E-08,1,1.0,1.0,0.5720816850662231,0.5721322298049927
210,210,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41585126519203186,0.06344322860240936
211,211,spec_lbm,VALID,160.646058502,1,1.5018930121204E-08,1,1.0,1.0,0.5683397054672241,0.552277147769928
212,212,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4230149984359741,0.0667528584599495
213,213,spec_lbm,INVALID,160.039234839,1,1.9682398744865E-07,0,1.0,1.0,0.5317601561546326,0.4996195435523987
214,214,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4212782084941864,0.07295488566160202
215,215,spec_lbm,VALID,160.965851726,1,2.6353518478572E-08,1,1.0,1.0,0.5722604393959045,0.5744099617004395
216,216,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4024808406829834,0.06861201673746109
217,217,spec_lbm,INVALID,160.980726739,1,3.9506527015879E-07,0,1.0,1.0,0.5647501349449158,0.5780200362205505
218,218,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4187908172607422,0.06097210943698883
219,219,spec_lbm,VALID,156.998866788,1,1.1217025546772E-08,1,1.0,1.0,0.5746555328369141,0.6315537095069885
220,220,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.43997082114219666,0.06461694836616516
221,221,spec_lbm,INVALID,161.727765602,1,9.1149167950033E-06,0,1.0,1.0,0.5148720741271973,0.5823103189468384
222,222,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.41739508509635925,0.06642059981822968
223,223,spec_lbm,VALID,154.281634062,1,5.6073044327983E-08,1,1.0,1.0,0.5760566592216492,0.6100394129753113
