,benchmark,label,runtime,runtime_label,error,error_label
111,lulesh,FAIL,9999.0,0,,0
112,lulesh,FAIL,9999.0,0,,0
113,lulesh,FAIL,9999.0,0,,0
114,lulesh,FAIL,9999.0,0,,0
115,lulesh,INVALID,15.254324,1, 2.4485863201789E-02,0
116,lulesh,FAIL,9999.0,0,,0
117,lulesh,INVALID,15.627552,1, 1.7068808811018E-02,0
118,lulesh,FAIL,9999.0,0,,0
119,lulesh,INVALID,15.600137,1, 3.6317701597000E-04,0
120,lulesh,FAIL,9999.0,0,,0
121,lulesh,INVALID,15.55171,1, 5.3106156701688E-04,0
122,lulesh,FAIL,9999.0,0,,0
123,lulesh,FAIL,9999.0,0,,0
124,lulesh,FAIL,9999.0,0,,0
125,lulesh,FAIL,9999.0,0,,0
126,lulesh,FAIL,9999.0,0,,0
127,lulesh,FAIL,9999.0,0,,0
128,lulesh,FAIL,9999.0,0,,0
129,lulesh,VALID,15.582021399999999,1, 8.6547422142758E-05,1
130,lulesh,FAIL,9999.0,0,,0
131,lulesh,VALID,15.795995999999999,1, 2.5279907276854E-05,1
132,lulesh,FAIL,9999.0,0,,0
133,lulesh,FAIL,9999.0,0,,0
134,lulesh,FAIL,9999.0,0,,0
135,lulesh,FAIL,9999.0,0,,0
136,lulesh,FAIL,9999.0,0,,0
137,lulesh,INVALID,15.437611,1, 8.9290260111738E-03,0
138,lulesh,FAIL,9999.0,0,,0
139,lulesh,FAIL,9999.0,0,,0
140,lulesh,FAIL,9999.0,0,,0
141,lulesh,FAIL,9999.0,0,,0
142,lulesh,FAIL,9999.0,0,,0
143,lulesh,INVALID,15.600687,1, 2.5162270685541E-04,0
144,lulesh,FAIL,9999.0,0,,0
145,lulesh,FAIL,9999.0,0,,0
146,lulesh,FAIL,9999.0,0,,0
147,lulesh,FAIL,9999.0,0,,0
148,lulesh,FAIL,9999.0,0,,0
149,lulesh,FAIL,9999.0,0,,0
150,lulesh,FAIL,9999.0,0,,0
151,lulesh,FAIL,9999.0,0,,0
152,lulesh,FAIL,9999.0,0,,0
153,lulesh,INVALID,0.733439,1, 0.0000000000000E+00,0
154,lulesh,FAIL,9999.0,0,,0
155,lulesh,FAIL,9999.0,0,,0
156,lulesh,FAIL,9999.0,0,,0
157,lulesh,INVALID,15.679908,1, 9.2082775254312E-03,0
158,lulesh,FAIL,9999.0,0,,0
159,lulesh,FAIL,9999.0,0,,0
160,lulesh,FAIL,9999.0,0,,0
161,lulesh,FAIL,9999.0,0,,0
162,lulesh,FAIL,9999.0,0,,0
163,lulesh,FAIL,9999.0,0,,0
164,lulesh,FAIL,9999.0,0,,0
165,lulesh,INVALID,0.842099,1, 0.0000000000000E+00,0
166,lulesh,FAIL,9999.0,0,,0
167,lulesh,FAIL,9999.0,0,,0
168,lulesh,FAIL,9999.0,0,,0
169,lulesh,FAIL,9999.0,0,,0
170,lulesh,FAIL,9999.0,0,,0
171,lulesh,FAIL,9999.0,0,,0
172,lulesh,FAIL,9999.0,0,,0
173,lulesh,INVALID,15.98403,1, 5.2325358828966E-03,0
174,lulesh,FAIL,9999.0,0,,0
175,lulesh,INVALID,15.510753,1, 5.0033831923201E-02,0
176,lulesh,FAIL,9999.0,0,,0
177,lulesh,INVALID,16.090188,1, 5.8897052804241E-04,0
178,lulesh,FAIL,9999.0,0,,0
179,lulesh,INVALID,16.105954,1, 1.9386511485209E-04,0
180,lulesh,FAIL,9999.0,0,,0
181,lulesh,FAIL,9999.0,0,,0
182,lulesh,FAIL,9999.0,0,,0
183,lulesh,FAIL,9999.0,0,,0
184,lulesh,FAIL,9999.0,0,,0
185,lulesh,FAIL,9999.0,0,,0
186,lulesh,FAIL,9999.0,0,,0
187,lulesh,INVALID,15.587809,1, 4.3826031628669E-02,0
188,lulesh,FAIL,9999.0,0,,0
189,lulesh,FAIL,9999.0,0,,0
190,lulesh,FAIL,9999.0,0,,0
191,lulesh,FAIL,9999.0,0,,0
192,lulesh,FAIL,9999.0,0,,0
193,lulesh,FAIL,9999.0,0,,0
194,lulesh,FAIL,9999.0,0,,0
