,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
75,75,mg,INVALID,1.075437,1, 4.9998664855957E-01,0,-1.0,-1.0
76,76,mg,FAIL,9999.0,0,,0,-1.0,-1.0
77,77,mg,INVALID,1.085842,1, 3.6541405279422E-06,0,-1.0,-1.0
78,78,mg,FAIL,9999.0,0,,0,-1.0,-1.0
79,79,mg,INVALID,1.07045,1, 1.4751495327801E-03,0,-1.0,-1.0
80,80,mg,FAIL,9999.0,0,,0,-1.0,-1.0
81,81,mg,VALID,1.0805358,1, 2.4333653527719E-06,1,-1.0,-1.0
82,82,mg,FAIL,9999.0,0,,0,-1.0,-1.0
83,83,mg,INVALID,1.223141,1, 1.2111287796870E-03,0,-1.0,-1.0
84,84,mg,FAIL,9999.0,0,,0,-1.0,-1.0
85,85,mg,INVALID,1.946954,0, 1.0918300831690E-03,0,-1.0,-1.0
86,86,mg,FAIL,9999.0,0,,0,-1.0,-1.0
87,87,mg,INVALID,1.209562,1,                 NAN,0,-1.0,-1.0
88,88,mg,INVALID,1.242744,1, 2.0977365784347E-03,0,-1.0,-1.0
89,89,mg,INVALID,1.078417,1, 0.0000000000000E+00,0,-1.0,-1.0
90,90,mg,INVALID,1.233038,1, 0.0000000000000E+00,0,-1.0,-1.0
91,91,mg,INVALID,1.075697,1, 1.9178707152605E-03,0,-1.0,-1.0
92,92,mg,FAIL,9999.0,0,,0,-1.0,-1.0
93,93,mg,INVALID,1.07578,1,                 NAN,0,-1.0,-1.0
94,94,mg,FAIL,9999.0,0,,0,-1.0,-1.0
95,95,mg,INVALID,1.568134,0,                -NAN,0,-1.0,-1.0
96,96,mg,FAIL,9999.0,0,,0,-1.0,-1.0
97,97,mg,INVALID,1.11114,1,                 NAN,0,-1.0,-1.0
98,98,mg,FAIL,9999.0,0,,0,-1.0,-1.0
99,99,mg,INVALID,1.212332,1, 1.5386108134408E-04,0,-1.0,-1.0
100,100,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
101,101,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
102,102,mg,FAIL,9999.0,0,,0,-1.0,-1.0
103,103,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
104,104,mg,FAIL,9999.0,0,,0,-1.0,-1.0
105,105,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
106,106,mg,FAIL,9999.0,0,,0,-1.0,-1.0
107,107,mg,FAIL,9849.015,0,,0,1.0,1.0
108,108,mg,FAIL,9999.0,0,,0,-1.0,-1.0
109,109,mg,FAIL,9849.015,0,,0,1.0,1.0
110,110,mg,FAIL,9999.0,0,,0,-1.0,-1.0
111,111,mg,INVALID,1.0564765249999999,1,                -NAN,0,1.0,1.0
112,112,mg,FAIL,9999.0,0,,0,-1.0,-1.0
113,113,mg,INVALID,4.883731455,0, 3.8036115719507E+29,0,1.0,1.0
114,114,mg,FAIL,9999.0,0,,0,-1.0,-1.0
115,115,mg,INVALID,1.082445065,1,                 NAN,0,1.0,1.0
116,116,mg,FAIL,9999.0,0,,0,-1.0,-1.0
117,117,mg,INVALID,1.1726296950000001,1,                -NAN,0,1.0,1.0
118,118,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
119,119,mg,INVALID,1.10495133,1, 1.5390320913866E-04,0,1.0,1.0
120,120,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
121,121,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
122,122,mg,FAIL,9999.0,0,,0,-1.0,-1.0
123,123,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
124,124,mg,FAIL,9999.0,0,,0,-1.0,-1.0
125,125,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
126,126,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
127,127,mg,INVALID,1.074247895,1, 3.3960222936003E-06,0,1.0,1.0
128,128,mg,FAIL,9999.0,0,,0,-1.0,-1.0
129,129,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
130,130,mg,FAIL,9999.0,0,,0,-1.0,-1.0
131,131,mg,VALID,1.070783847,1, 2.4333653527719E-06,1,1.0,1.0
132,132,mg,FAIL,9999.0,0,,0,-1.0,-1.0
133,133,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
134,134,mg,FAIL,9999.0,0,,0,-1.0,-1.0
135,135,mg,INVALID,6.214679215,0,                 NAN,0,1.0,1.0
136,136,mg,FAIL,9999.0,0,,0,-1.0,-1.0
137,137,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
138,138,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
139,139,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
140,140,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
141,141,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
142,142,mg,FAIL,9999.0,0,,0,-1.0,-1.0
143,143,mg,FAIL,9849.015,0,,0,1.0,1.0
144,144,mg,FAIL,9999.0,0,,0,-1.0,-1.0
145,145,mg,FAIL,9849.015,0,,0,1.0,1.0
146,146,mg,FAIL,9999.0,0,,0,-1.0,-1.0
147,147,mg,INVALID,1.08136649,1,                -NAN,0,1.0,1.0
148,148,mg,FAIL,9999.0,0,,0,-1.0,-1.0
149,149,mg,FAIL,9849.015,0,,0,1.0,1.0
150,150,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
151,151,mg,INVALID,1.104215535,1, 9.7813288448378E-05,0,1.0,1.0
